CHROM	POP	DATASET	Pi	Watterson	Tajima_D
3L	PT_Rec_14_33	Europe_SNAPE	0.005329	0.005511	-0.151915
3L	PT_Rec_15_16	Europe_SNAPE	0.006042	0.006182	-0.125455
3L	PT_Rec_16_18	Europe_SNAPE	0.005813	0.006214	-0.258424
3L	RS_Kal_16_28	Europe_SNAPE	0.004892	0.004725	0.149490
3L	RS_Kal_16_29	Europe_SNAPE	0.005055	0.004994	0.049361
3L	RS_Sla_16_30	Europe_SNAPE	0.004959	0.004849	0.098400
3L	RS_Sla_16_31	Europe_SNAPE	0.005002	0.004922	0.070535
3L	RU_Ale_15_55	Europe_SNAPE	0.004367	0.003407	1.202323
3L	RU_Ale_16_22	Europe_SNAPE	0.005309	0.005346	-0.029456
3L	RU_tul_15_37	Europe_SNAPE	0.004853	0.004484	0.327940
3L	RU_val_15_36	Europe_SNAPE	0.005087	0.004618	0.419925
3L	RU_val_15_38	Europe_SNAPE	0.004807	0.004096	0.701171
3L	RU_Val_16_19	Europe_SNAPE	0.005378	0.005500	-0.092207
3L	RU_Val_16_20	Europe_SNAPE	0.005157	0.005109	0.038717
3L	RU_Val_16_21	Europe_SNAPE	0.004651	0.003849	0.838179
